conjunto,id,status,meta_otimizacao,estrategia_lance,gasto_brl,compras,roas,cpa_brl,ctr,frequencia,atualizado
01 - [FEED/STORIES] KONJAC10 MORNO,120253141962290102,CAMPAIGN_PAUSED,VALUE,,184.97,3,3.16,61.66,"1,54%",1.2,2026-06-17
01 - IG & FB,120254795732550102,CAMPAIGN_PAUSED,PROFILE_VISIT,,168.18,0,0.0,,"3,78%",1.27,2026-07-21
01 - Centro-Oeste,120252678439220102,CAMPAIGN_PAUSED,VALUE,,157.95,1,1.48,157.95,"1,77%",1.35,2026-06-10
01 - [FEED/STORIES] QUENTE,120254619283770102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,157.07,3,2.05,52.36,"1,56%",1.28,2026-07-14
01 - Cup,120255001391080102,CAMPAIGN_PAUSED,VALUE,,154.94,0,0.0,,"5,85%",1.1,2026-07-29
01 - [FEED/STORIES] QUENTE,120254619011410102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,153.95,5,5.84,30.79,"1,64%",1.49,2026-07-14
01 - Low Carb,120254615806010102,CAMPAIGN_PAUSED,VALUE,,153.58,0,0.0,,"3,40%",1.4,2026-07-14
01 - Low Carb,120254616511580102,CAMPAIGN_PAUSED,VALUE,,150.38,3,3.79,50.13,"5,58%",1.32,2026-07-14
01 - Low Carb,120255001828360102,CAMPAIGN_PAUSED,VALUE,,141.45,0,0.0,,"4,28%",1.5,2026-07-29
01 - [FEED/STORIES] QUENTE,120255002044220102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,139.7,4,5.78,34.92,"2,52%",1.39,2026-07-29
01 - [FEED/STORIES] FRIO,120253613607050102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,135.18,1,0.57,135.18,"1,77%",1.11,2026-06-23
01 - [FEED/STORIES] LOOKALIKE,120255001096490102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,134.75,1,2.2,134.75,"2,51%",1.12,2026-07-29
01 - [FEED/STORIES] ADV+,120252513070090102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,122.13,2,2.88,61.06,"1,97%",1.31,2026-06-08
01 - [FEED/STORIES] QUENTE,120253615505300102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,116.12,0,0.0,,"2,09%",1.07,2026-06-23
01 - [FEED/STORIES] ADV+,120253125707630102,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,,105.06,1,1.07,105.06,"2,03%",1.17,2026-06-17
